ID1,ID2,jaccard estimate
266,172,0.6652789342214821
362,255,0.8214936247723132
420,252,0.7699115044247787
440,325,0.8709073900841908
458,84,0.8832391713747646
460,317,0.733102253032929
595,508,0.9029495718363464
604,319,0.76522506619594
623,46,0.7873100983020554
658,179,0.7793594306049823
704,291,0.7391304347826086
742,718,0.5372790161414297
841,371,0.7452006980802792
862,735,0.737619461337967
865,819,0.7021276595744681
876,770,0.6625103906899418
893,306,0.7316017316017316
897,27,1.0
903,311,0.7167381974248928
933,198,0.8347107438016529
949,285,0.8450184501845018
954,22,0.7391304347826086
970,4,0.669449081803005
