ID1,ID2,jaccard estimate
7283,48,0.9867549668874173
319,179,0.9169329073482428
3239,180,0.6042780748663101
3722,218,0.9736842105263158
8724,353,0.5037593984962406
4563,464,1.0
9454,531,0.729106628242075
7167,671,0.4669926650366748
7154,705,0.9672131147540983
2435,1030,1.0
7083,1076,0.9607843137254902
4528,1171,0.6
6412,1227,1.0
7623,1300,1.0
4638,1359,0.9543973941368078
7730,1544,1.0
8662,1928,1.0
9265,1994,0.7391304347826086
7773,2042,1.0
2681,2122,0.58311345646438
2540,2129,1.0
4392,2285,0.47058823529411764
9955,2288,0.45985401459854014
4243,2367,0.4925373134328358
6665,2427,0.9672131147540983
4909,2539,0.507537688442211
9595,2564,0.4925373134328358
6867,2729,0.4084507042253521
3142,2852,0.3452914798206278
4063,2976,0.9736842105263158
7910,3451,0.39211136890951276
6740,3797,1.0
9796,4071,1.0
7586,4405,1.0
5398,4951,0.36363636363636365
8304,5139,0.36363636363636365
8848,5369,1.0
7527,6035,0.431980906921241
6936,6083,1.0
6180,6103,1.0
7440,6381,1.0
8187,7206,0.948051948051948
8154,7268,1.0
8700,7808,1.0
7998,7845,0.30718954248366015
9882,8020,0.948051948051948
9813,9334,0.9801980198019802
7283,48,0.9867549668874173
5493,50,0.41843971631205673
319,179,0.9169329073482428
6757,317,0.5113350125944585
5894,354,0.5
4563,464,1.0
9454,531,0.729106628242075
1069,661,0.3157894736842105
7154,705,0.9672131147540983
5515,725,0.3392857142857143
2435,1030,1.0
7083,1076,0.9607843137254902
5183,1119,0.43884892086330934
1686,1125,0.5189873417721519
6412,1227,1.0
7623,1300,1.0
6700,1474,0.6528925619834711
7730,1544,1.0
4252,1717,0.37299771167048057
2556,1765,0.6260162601626016
4533,1816,0.36363636363636365
8662,1928,1.0
7773,2042,1.0
4656,2071,0.7191977077363897
2540,2129,1.0
4045,2248,0.30151843817787416
4659,2326,0.3793103448275862
6665,2427,0.9672131147540983
3486,2702,0.47783251231527096
8059,3023,0.3274336283185841
9668,3027,0.3888888888888889
8997,3195,0.4251781472684085
6740,3797,1.0
9796,4071,1.0
6939,4103,0.9607843137254902
6620,4298,0.3888888888888889
7586,4405,1.0
9199,4521,0.45278450363196127
6664,5213,0.4492753623188406
8577,5256,0.6620498614958449
8848,5369,1.0
7466,5681,0.3824884792626728
6936,6083,1.0
6180,6103,1.0
6621,6346,0.5228426395939086
7440,6381,1.0
8187,7206,0.948051948051948
8154,7268,1.0
9394,7500,0.3392857142857143
8700,7808,1.0
9882,8020,0.948051948051948
8496,8434,0.4218009478672986
9813,9334,0.9801980198019802
7283,48,0.9867549668874173
